frog_id,pop,locale,birth_yr,death_date,age_yrs,EB,mass,SVL
45500 ,TZ,Zoo,2009,NA,12,1,70.6,60.42
45502 ,TZ,Zoo,2009,12-Jul-22,12,1,53.6,64.97
45511 ,TZ,Zoo,2010,29-Jul-21,11,1,67.5,70.60
50624 ,TZ,Zoo,2015,NA,6,1,57.8,58.81
50626 ,TZ,Zoo,2015,NA,6,1,45.8,62.30
50628 ,TZ,Zoo,2017,NA,4,1,72.6,69.98
50631 ,TZ,Zoo,2017,NA,4,1,77.5,76.01
50637 ,TZ,Zoo,2016,NA,3,1,36.2,51.49
50638 ,TZ,Zoo,2016,NA,3,1,40.5,64.70
982000405718886 ,GVZ,Zoo,unk,NA,,1,55.1,67.1
982000405718896 ,GVZ,Zoo,unk,NA,,1,43.1,70.44
982000405718899 ,GVZ,Zoo,unk,NA,,1,43.7,62.45
982000405718903 ,GVZ,Zoo,unk,NA,,1,55.2,75.85
982000405718906 ,GVZ,Zoo,unk,NA,,1,42.9,66.76
982000405718936 ,GVZ,Zoo,unk,NA,,1,33.2,70.95
982000405718943 ,GVZ,Zoo,unk,NA,,1,39.4,59.05
982000405718954 ,GVZ,Zoo,unk,NA,,1,41.6,75.8
982000405718960 ,GVZ,Zoo,unk,NA,,1,38.6,73.09
982000405718975 ,GVZ,Zoo,unk,NA,,1,56.3,82.3
982000406275045 ,GVZ,Zoo,2019,NA,2,1,24.2,63.7
982000406275166 ,GVZ,Zoo,2019,NA,2,1,29.7,68.18
982000406275219 ,GVZ,Zoo,2019,NA,2,1,25,64.99
982000406275486 ,GVZ,Zoo,unk,2020,,1,31.2,70.75
982000406275573 ,GVZ,Zoo,unk,NA,,1,38.4,71.12
982000406275582 ,GVZ,Zoo,unk,NA,,1,35.5,63.68
982000406275601 ,GVZ,Zoo,unk,NA,,1,39.4,71.88
982000406275605 ,GVZ,Zoo,unk,NA,,1,34.1,69.66
982000406275625 ,GVZ,Zoo,unk,NA,,1,28.6,70.34
982000406276914 ,GVZ,Zoo,2019,NA,2,1,27.4,68.82
982091062767464 ,GVZ,Zoo,2019,NA,2,1,29.1,65.45
982091062767466 ,GVZ,Zoo,2019,NA,2,1,29.4,65.97
982091062767471 ,GVZ,Zoo,2019,05-Apr-22,2,0,21.6,60.39
982091062767480 ,GVZ,Zoo,2019,2021,1,1,23.8,61.79
982091062767483 ,GVZ,Zoo,2019,20-Apr-22,2,0,27.8,65.02
982091062767487 ,GVZ,Zoo,2019,NA,2,1,21,61.41
982091062767497 ,GVZ,Zoo,2019,27-Apr-22,2,0,30.3,62.63
982091062767503 ,GVZ,Zoo,2019,NA,2,1,24.2,66.01
982091062767506 ,GVZ,Zoo,2019,NA,2,1,27.4,62.74
982091062767510 ,GVZ,Zoo,2019,NA,2,1,24.1,65.72
982091062767525 ,GVZ,Zoo,2019,NA,2,1,29.6,55.98
982091062767530 ,GVZ,Zoo,2019,NA,2,1,24.6,61.29
982091062767538 ,GVZ,Zoo,2019,NA,2,1,27.4,65.58
982091062767544 ,GVZ,Zoo,2019,NA,2,1,36.8,65.32
982091062767556 ,GVZ,Zoo,2019,NA,2,1,26.8,62.78
982091062969331 ,GVZ,Zoo,unk,NA,,1,42.7,66.39
982091062969340 ,GVZ,Zoo,unk,NA,,1,28.5,71.98
982091062969363 ,GVZ,Zoo,unk,NA,,1,32.1,60.43
982091062969372 ,GVZ,Zoo,unk,NA,,1,46.7,62.3
982091062969388 ,GVZ,Zoo,unk,Mar-21,,1,41.7,75.35
982091062969392 ,GVZ,Zoo,unk,NA,,1,35.2,73.87
982000359368776 ,MS,Wild,,,,1,44.8,68.0
982000359368825 ,MS,Wild,,,,1,50.7,70.3
982000359368836 ,MV,Wild,,,,1,62.4,77.0
982000359368859 ,MV,Wild,,,,1,49.8,74.0
982000359368867 ,MS,Wild,,,,1,35.9,59.0
982000365991389 ,MS,Wild,,,,1,46.2,67.0
982000365991770 ,MV,Wild,,,,1,48.8,75.0
982000406275172 ,MS,Wild,2019,,2,1,33.6,63.0
982000406275553 ,MS,Wild,2019,,2,1,23.3,57.0
982000406276584 ,MV,Wild,,,,1,38.4,72.0
982000406276606 ,MS,Wild,,,,1,37.9,61.5
982000406276626 ,MV,Wild,,,,1,62.8,74.0
982000406276642 ,MS,Wild,,,,1,53.5,68.0
982000406276655 ,MS,Wild,,,,1,40.1,66.0
982000406276778 ,MS,Wild,,,,1,44.0,65.0
982000406276849 ,MV,Wild,,,,1,33.3,62.0
982000406276858 ,MV,Wild,,,,1,79.8,83.0
982000406276883 ,MS,Wild,,,,1,43.2,66.0
982000406276900 ,MS,Wild,,,,1,48.7,72.0
982091062767369 ,MS,Wild,,,,1,48.4,67.0
982091062767389 ,MS,Wild,,,,1,40.3,66.0
982091062767429 ,MS,Wild,,,,1,42.5,63.0
982091062767459 ,MS,Wild,,,,1,47.2,66.5
982091062767606 ,MS,Wild,,,,1,45.2,62.0
982091062767612 ,CH,Wild,,,,1,36.8,70.0
982091062767623 ,MS,Wild,,,,1,40.7,64.0
982091062767625 ,MS,Wild,,,,1,42.4,70.0
982091062767643 ,CH,Wild,,,,1,54.1,69.0
982091062767717 ,MV,Wild,,,,1,37.7,66.0
982091062767744 ,MS,Wild,,,,1,40.2,65.5
982091062767757 ,MV,Wild,,,,1,33.7,66.0
982091062767759 ,CH,Wild,,,1,1,36.6,61.0
982091062767977 ,MV,Wild,,,,1,32.8,67.0
982091062767989 ,MV,Wild,,,,1,36.8,69.0
982091062768049 ,MV,Wild,,,,1,52.2,65.0
982091062768059 ,MV,Wild,,,,1,37.1,67.0
982091062768067 ,MS,Wild,,,,1,40.8,64.0
982091062768119 ,MS,Wild,,,,1,30.2,58.0
982091062768156 ,MS,Wild,,,,1,38.6,62.0
NULL,CH,Wild,,,,1,55.4,80.0
NULL,MS,Wild,,,,1,54.0,68.0
NULL,MS,Wild,,,,1,58.0,70.0
NULL,CH,Wild,,,,1,55.6,73.0
NULL,CH,Wild,,,,1,34.7,63.0
NULL,CH,Wild,,,,1,33.9,62.0
2019 CBEM08-02,VA,Zoo,2019,05-Apr-22,2,0,27.44,54.6
2019 CBEM08-03,VA,Zoo,2019,NA,2,1,23.41,48.26
2019 CBEM08-04,VA,Zoo,2019,NA,2,1,26.06,53.11
2019 CBEM08-05,VA,Zoo,2019,17-Apr-22,2,0,26.16,53.16
2019 CBEM08-07,VA,Zoo,2019,16-Apr-22,2,0,21.99,45.43
2019 CBEM08-08,VA,Zoo,2019,20-Apr-22,2,0,23.65,45.82
2019 CBEM08-09,VA,Zoo,2019,27-Apr-22,2,0,23.86,50.44
2019 CBEM21-03,VA,Zoo,2019,07-May-22,2,0,24.74,45.91
2019 CBEM21-05,VA,Zoo,2019,NA,2,1,26.31,48.44
2019 CBEM21-09,VA,Zoo,2019,NA,2,1,25.14,49.29
2019 WCEM01-01,VA,Zoo,2019,NA,2,1,18.12,34.26
2019 WCEM01-02,VA,Zoo,2019,NA,2,1,21.56,38.44
2019 WCEM02-04,VA,Zoo,2019,NA,2,1,21.66,48.95
2019 WCEM02-05,VA,Zoo,2019,NA,2,1,23.07,48
2019 WCEM03-01,VA,Zoo,2019,NA,2,1,25.59,54.07