turtle.name,treatment,sex,mass21f,length21f,residual21ml,residual21ml.all,mass21,length21,mass20,length20,all.limbs,n.limbs.missing
Above Average,wind,f,325,12.5,80.795862,70.890146,325,12.5,325,12.56,y,0
Agaji,wind,f,,,,,190,9.1,110,9.05,y,0
Captain Dan,wind,m,175,11.2,-27.00098,,175,11.2,190,11.26,n,2
Cole,control,m,215,12.3,-22.711344,-31.4624931,215,12.3,215,13.8,y,0
Damien,control,m,277,13.1,13.317482,-0.0519364,277,13.1,285,13.2,y,0
Dom,control,m,250,12.1,18.781449,11.1848677,250,12.1,240,12.2,y,0
Felicia,windburn,f,,,,,,,140,8.6,y,0
Fury,windburn,m,250,12,22.027846,15.0085481,250,12,215,11.7,y,0
Guy,wind,m,213,12,-14.972154,-21.9914519,213,12,225,13.5,y,0
Harley,wind,m,177,11.2,-25.00098,-27.4020087,177,11.2,,,y,0
Jessica,windburn,f,247,10.6,64.4774,65.5400738,247,10.6,173,10.56,y,0
Jill,windburn,f,,,,,220,10.4,,,y,0
Layla,control,f,230,11.5,18.259829,14.1269501,230,11.5,,,y,0
Lila,windburn,f,213,11.5,1.259829,,213,11.5,245,13,n,1
Linnaeus,control,m,245,12.1,13.781449,6.1848677,245,12.1,245,12.2,y,0
Louis,windburn,m,,,,,,,130,9.7,y,0
Mathilde,wind,f,175,10.4,-1.029807,1.1874346,175,10.4,,,y,0
Micheal Phelps,wind,f,203,10.9,10.73821,10.0690325,203,10.9,200,10.8,y,0
Myrtle,control,f,150,10.2,-19.537013,-16.1652046,150,10.2,155,10.33,y,0
Olivia,control,f,190,10.7,4.231003,4.7163934,190,10.7,,,y,0
Orion,control,m,,,,,179,10.8,195,10.8,y,0
Pam,control,f,,,,,,,180,10.7,y,0
Paul,wind,m,215,12.4,-25.957741,-35.2861736,215,12.4,,,y,0
Real Slim Spotty,windburn,m,215,12.1,-16.218551,-23.8151323,215,12.1,230,12.2,y,0
Rhonda,windburn,f,243,11.4,34.506226,30.9506305,243,11.4,215,11.42,y,0
Sheila,control,f,260,12.3,22.288656,13.5375069,260,12.3,,,y,0
Shelly,control,f,163,10.3,-9.78341,-6.988885,163,10.3,165,10.6,y,0
Sherman,windburn,m,140,11.3,-65.247377,-68.2256891,140,11.3,205,11.34,y,0
Spot,wind,f,180,10.4,3.970193,6.1874346,180,10.4,,,y,0
Squirrely Danielle,control,f,185,10.7,-0.768997,-0.2836066,185,10.7,,,y,0
Tank Girl,wind,f,205,11.1,6.245416,4.4216717,205,11.1,210,11,y,0
Thelma,windburn,f,170,10.7,-15.768997,-15.2836066,170,10.7,190,10.64,y,0
Tripod,windburn,m,190,12.9,-67.189724,,190,12.9,263,12.95,n,1
Victoria,windburn,f,205,11.4,-3.493774,-7.0493695,205,11.4,247,11.44,y,0