frog_id,pop,age,birth_yr,avg_mass,avg_SVL
982000359368768,MV,,,54.5,74.0
982000359368769,MV,,,21.0,56.0
982000359368776,MS,,,44.8,68.0
982000359368777,MV,,,34.4,63.5
982000359368782,MV,,,28.2,63.0
982000359368791,MV,,,46.2,74.0
982000359368792,MS,,,53.8,74.0
982000359368810,MV,,,22.4,63.0
982000359368817,MV,,,48.4,70.3
982000359368825,MS,,,50.7,70.3
982000359368827,MV,,,25.0,60.0
982000359368833,MV,,,38.5,69.0
982000359368836,MV,,,62.4,77.0
982000359368837,MV,,,33.3,64.0
982000359368838,MV,,,28.7,60.0
982000359368859,MV,,,49.8,74.0
982000359368867,MS,,,35.9,59.0
982000364991764,MS,,,28.7,68.0
982000365991381,MS,,,43.9,81.0
982000365991384,MS,,,41.1,74.5
982000365991386,MS,,,47.9,85.0
982000365991389,MS,,,25.7,68.0
982000365991395,MS,,,36.5,78.0
982000365991410,MS,,,49.2,82.0
982000365991412,MS,,,47.2,78.0
982000365991415,MS,,,49.0,84.0
982000365991421,MS,,,40.3,75.3
982000365991422,MS,,,20.8,63.0
982000365991423,MS,,,46.8,84.0
982000365991430,MS,,,48.4,83.0
982000365991442,MS,,,41.7,79.0
982000365991449,MS,,,48.6,84.0
982000365991458,MS,,,35.8,84.0
982000365991473,MS,,,47.9,93.0
982000365991482,MV,,,40.0,65.0
982000365991521,MV,,,26.9,59.0
982000365991524,MV,,,24.5,60.0
982000365991531,MV,,,21.5,60.0
982000365991543,MV,,,26.0,60.0
982000365991544,MV,,,50.9,86.0
982000365991549,MV,,,44.6,68.3
982000365991550,MV,,,37.1,63.0
982000365991553,MV,,,55.9,73.0
982000365991555,MV,,,64.8,89.0
982000365991565,MV,,,28.1,57.5
982000365991566,MV,,,68.9,81.0
982000365991571,MV,,,26.4,60.0
982000365991577,MV,,,44.4,72.0
982000365991579,MV,,,31.1,64.0
982000365991583,MS,,,42.4,67.0
982000365991587,MS,,,23.3,62.5
982000365991588,MV,,,41.2,72.0
982000365991589,MV,,,33.7,65.0
982000365991592,MV,,,42.8,82.0
982000365991599,MV,,,47.2,84.0
982000365991602,MV,,,33.5,72.0
982000365991604,MV,,,29.6,66.0
982000365991609,MV,,,25.9,68.0
982000365991624,MS,,,21.8,68.5
982000365991635,MV,,,35.4,65.0
982000365991651,MS,,,25.7,72.0
982000365991652,MV,,,20.8,58.5
982000365991655,MV,,,39.9,79.0
982000365991657,MV,,,34.0,73.0
982000365991681,MV,,,57.0,76.0
982000365991682,MS,,,19.7,61.0
982000365991692,MS,,,42.5,90.0
982000365991696,MV,,,26.4,61.0
982000365991697,MS,,,24.2,57.0
982000365991716,MS,,,33.7,74.0
982000365991718,MS,,,29.5,62.0
982000365991722,MV,,,52.5,70.0
982000365991737,MS,,,35.9,71.0
982000365991752,MS,,,59.7,94.0
982000365991756,MS,,,32.9,73.8
982000365991757,MS,,,37.5,67.0
982000365991760,MV,,,35.7,64.0
982000365991764,MS,,,28.1,68.5
982000365991769,MS,,,43.9,76.0
982000365991770,MV,,,20.0,55.0
982000365991774,MV,,,26.4,59.0
982000406274967,MV,,,28.6,61.0
982000406274975,MV,,,31.3,64.0
982000406274978,MV,,,56.2,71.5
982000406274979,MV,,,61.1,77.0
982000406274984,MV,,,53.3,71.0
982000406274985,MV,,,18.9,55.0
982000406274991,MV,,,61.9,76.0
982000406275003,MV,,,32.3,66.0
982000406275007,MV,,,35.0,67.0
982000406275010,MV,,,22.2,60.0
982000406275019,MV,,,37.1,65.0
982000406275020,MV,,,29.4,61.0
982000406275022,MV,,,83.4,86.0
982000406275029,MV,,,50.9,71.0
982000406275040,MV,,,25.5,64.0
982000406275041,MV,,,34.4,68.0
982000406275169,MV,,,48.0,74.0
982000406275172,MS,2,2019,33.6,63.0
982000406275179,MV,,,31.6,61.0
982000406275184,MV,,,39.0,73.0
982000406275185,MV,,,45.1,71.0
982000406275197,MV,,,41.6,71.0
982000406275202,MV,,,36.3,68.0
982000406275206,MV,,,36.2,63.5
982000406275213,MV,,,58.0,77.0
982000406275216,MV,,,36.4,68.0
982000406275233,MV,,,31.8,67.0
982000406275258,MV,,,36.2,68.0
982000406275259,MV,,,35.9,69.0
982000406275260,MV,,,57.6,79.0
982000406275276,MV,,,38.7,67.3
982000406275279,MV,,,33.3,62.5
982000406275282,MV,,,34.9,66.0
982000406275285,MV,,,22.9,61.0
982000406275294,MV,,,24.3,59.0
982000406275308,MV,,,36.6,68.0
982000406275310,MV,,,46.0,69.5
982000406275316,MV,,,60.3,76.0
982000406275318,MV,,,31.5,64.0
982000406275323,MV,,,31.9,64.0
982000406275324,MV,,,43.2,66.0
982000406275325,MV,,,37.5,67.0
982000406275331,MV,,,39.4,67.0
982000406275337,MV,,,51.0,73.5
982000406275338,MV,,,37.0,65.0
982000406275343,MV,,,32.4,65.0
982000406275345,MV,,,48.7,73.0
982000406275348,MV,,,64.8,69.0
982000406275349,MV,,,26.4,59.0
982000406275358,MV,,,49.9,69.8
982000406275378,MV,,,37.5,63.0
982000406275379,MV,,,24.6,61.7
982000406275382,MV,,,34.1,64.7
982000406275387,MV,,,69.1,76.0
982000406275391,MV,,,33.5,69.0
982000406275395,MV,,,42.1,71.0
982000406275406,MV,,,42.2,71.0
982000406275407,MV,,,41.3,69.0
982000406275408,MV,,,26.9,64.0
982000406275418,MV,,,53.0,74.5
982000406275432,MV,,,69.3,83.3
982000406275440,MV,,,40.7,63.0
982000406275447,MV,,,23.9,61.5
982000406275452,MV,,,47.5,73.0
982000406275455,MV,,,34.1,69.0
982000406275456,MV,,,35.8,65.0
982000406275475,MS,,,24.4,60.0
982000406275476,MS,,,36.4,64.3
982000406275484,MS,,,23.6,53.0
982000406275487,MS,,,43.2,63.0
982000406275506,MS,,,23.4,61.0
982000406275544,MS,,,42.1,67.0
982000406275553,MS,2,2019,23.3,57.0
982000406275600,MV,,,25.6,59.0
982000406275642,MV,,,40.7,67.0
982000406275645,ST,,,26.2,66.0
982000406275669,MV,,,62.3,72.0
982000406275695,MV,,,31.6,63.0
982000406275697,MV,,,32.4,65.0
982000406275702,MV,,,26.0,62.0
982000406275716,MV,,,69.0,82.0
982000406275725,MV,,,40.3,70.5
982000406275733,MV,,,55.0,77.0
982000406275964,MS,,,53.2,72.7
982000406275966,MS,,,30.8,79.0
982000406275969,MS,,,44.4,72.0
982000406275979,MS,,,32.6,63.0
982000406276027,MV,,,30.8,63.5
982000406276034,MS,,,33.1,60.3
982000406276049,MS,,,52.2,68.0
982000406276053,MT,,,66.6,79.0
982000406276062,MS,,,37.6,64.0
982000406276067,MV,,,55.5,75.0
982000406276068,MV,,,37.9,69.0
982000406276075,MV,,,48.8,74.0
982000406276078,MV,,,51.3,74.0
982000406276083,MV,,,56.3,74.0
982000406276088,MV,,,59.3,76.0
982000406276090,MV,,,57.3,77.0
982000406276095,MV,,,61.1,79.0
982000406276101,MV,,,38.7,77.0
982000406276107,MV,,,27.7,68.0
982000406276110,MV,,,52.5,75.0
982000406276111,MV,,,33.6,66.0
982000406276117,MV,,,58.6,75.0
982000406276118,MV,,,34.7,67.0
982000406276119,MV,,,46.9,75.0
982000406276123,MV,,,35.6,64.0
982000406276123,MV,,,53.8,73.2
982000406276132,MV,,,52.1,75.3
982000406276141,MV,,,33.9,67.0
982000406276142,MV,,,39.3,66.0
982000406276145,MV,,,38.9,70.5
982000406276151,MV,,,44.6,70.7
982000406276154,MV,,,33.5,64.0
982000406276157,MV,,,49.8,72.0
982000406276158,MV,,,28.9,63.0
982000406276167,MS,,,26.4,65.0
982000406276174,MS,,,33.2,71.0
982000406276177,MV,,,52.7,77.0
982000406276186,MV,,,41.4,71.0
982000406276192,MS,,,27.7,63.0
982000406276204,MS,,,22.8,59.3
982000406276206,MS,,,29.2,62.0
982000406276208,MV,,,58.7,72.0
982000406276210,MS,,,34.5,73.5
982000406276215,MV,,,47.9,72.0
982000406276245,MS,,,33.6,74.0
982000406276255,MV,3,2014,47.9,76.5
982000406276261,ST,,,51.2,77.0
982000406276269,MV,,,35.3,72.0
982000406276278,MV,,,29.0,70.0
982000406276279,MV,,,32.5,61.0
982000406276282,MV,,,23.4,62.5
982000406276284,MV,,,30.4,68.5
982000406276286,MV,,,52.6,74.0
982000406276289,MV,,,27.6,64.0
982000406276291,MV,,,27.4,67.0
982000406276292,MV,,,24.5,59.0
982000406276293,MV,,,68.1,92.0
982000406276300,MV,,,22.7,64.0
982000406276303,MV,,,36.9,65.0
982000406276308,MV,,,31.5,74.0
982000406276311,MV,,,28.7,71.0
982000406276313,MV,,,30.6,69.0
982000406276315,MV,,,38.3,72.0
982000406276317,MV,,,49.8,86.0
982000406276342,MV,,,45.5,68.8
982000406276343,MV,,,33.7,72.0
982000406276348,MV,,,31.4,73.0
982000406276349,MV,,,30.3,69.0
982000406276354,MV,,,39.7,71.0
982000406276358,MV,,,28.8,72.0
982000406276383,MV,,,43.9,69.0
982000406276391,MV,,,27.4,67.5
982000406276393,MV,,,47.1,81.0
982000406276394,MS,,,22.2,61.0
982000406276395,MV,,,61.4,83.5
982000406276398,MV,,,21.5,63.0
982000406276401,MV,,,47.3,76.0
982000406276403,MS,,,18.5,54.0
982000406276405,MV,,,30.3,72.0
982000406276407,MV,,,23.4,68.0
982000406276409,MV,,,36.3,65.0
982000406276410,MV,,,28.0,65.0
982000406276411,MV,,,38.4,72.0
982000406276414,MV,,,32.6,69.3
982000406276415,MV,,,72.9,79.5
982000406276417,MV,,,31.9,65.0
982000406276418,MV,,,76.6,84.0
982000406276425,MV,,,38.6,68.0
982000406276427,MV,,,35.0,69.0
982000406276428,ST,,,43.9,74.0
982000406276430,MV,,,29.1,65.0
982000406276433,MV,,,29.1,69.3
982000406276436,MV,,,36.5,70.0
982000406276438,MV,,,36.0,72.0
982000406276439,MV,,,27.5,65.0
982000406276445,MV,,,25.5,63.0
982000406276461,MS,,,50.5,66.0
982000406276486,MV,,,26.4,64.0
982000406276487,MV,,,34.4,73.0
982000406276501,MV,,,43.3,72.0
982000406276522,MV,,,40.8,62.0
982000406276528,MV,,,59.4,78.3
982000406276547,MV,,,31.4,60.0
982000406276561,MV,,,46.5,70.0
982000406276562,MV,,,51.1,72.5
982000406276579,MS,,,51.5,79.0
982000406276584,MV,,,38.4,72.0
982000406276587,MS,,,42.7,64.0
982000406276599,MV,,,33.8,65.0
982000406276601,MS,,,20.0,61.0
982000406276606,MS,,,37.9,61.5
982000406276624,MS,,,47.0,65.0
982000406276626,MV,,,49.7,71.0
982000406276642,MS,,,53.5,68.0
982000406276655,MS,,,40.1,66.0
982000406276657,MS,,,44.2,68.5
982000406276668,MV,,,35.9,65.0
982000406276674,MV,,,28.6,64.0
982000406276691,MV,,,28.7,60.0
982000406276696,MV,,,25.1,61.5
982000406276701,MV,,,39.0,67.5
982000406276719,MV,,,24.8,65.0
982000406276766,MV,,,41.4,70.0
982000406276774,MV,,,33.8,68.0
982000406276775,MV,,,45.2,74.7
982000406276778,MS,,,44.0,65.0
982000406276783,MV,,,39.0,68.0
982000406276806,MV,,,63.6,75.0
982000406276849,MV,,,33.3,62.0
982000406276858,MV,,,79.8,83.0
982000406276871,MV,,,47.9,78.0
982000406276883,MS,,,43.2,66.0
982000406276890,MV,,,59.2,73.0
982000406276894,MS,,,54.9,76.0
982000406276898,MV,,,41.0,67.0
982000406276900,MS,,,48.5,69.5
982000406276903,MV,,,39.2,72.0
982000406276936,MV,,,30.2,61.0
982000406276941,MV,,,55.2,74.7
982000406276945,MV,,,64.2,75.0
982000406276954,MS,,,33.9,60.0
982091062767365,MS,,,41.7,72.0
982091062767369,MS,,,48.4,67.0
982091062767389,MS,,,35.5,68.0
982091062767392,MS,,,72.6,70.0
982091062767398,MS,,,42.8,68.0
982091062767399,MS,,,36.3,67.0
982091062767410,MS,,,39.4,65.5
982091062767411,MS,,,46.0,65.0
982091062767413,MS,,,42.5,67.3
982091062767417,MS,,,70.8,72.0
982091062767420,MS,,,63.1,70.0
982091062767429,MS,,,42.5,63.0
982091062767437,MS,,,36.6,68.0
982091062767456,MS,,,73.1,70.0
982091062767459,MS,,,47.2,66.5
982091062767606,MS,,,45.2,62.0
982091062767612,CH,,,36.8,70.0
982091062767623,MS,,,40.7,64.0
982091062767625,MS,,,42.4,70.0
982091062767628,MS,,,39.8,68.0
982091062767643,CH,,,54.1,69.0
982091062767680,MS,,,62.7,75.0
982091062767700,MV,,,70.0,79.0
982091062767707,MV,,,57.5,79.0
982091062767714,MV,,,32.8,63.0
982091062767717,MV,,,37.7,66.0
982091062767744,MS,,,40.2,65.5
982091062767757,MV,,,33.7,66.0
982091062767759,CH,1,2020,36.6,61.0
982091062767800,MS,,,41.5,71.0
982091062767804,MV,,,34.2,65.0
982091062767814,MS,,,72.2,80.0
982091062767830,MV,,,37.4,67.0
982091062767852,MS,,,26.8,60.0
982091062767867,MV,,,72.9,76.0
982091062767885,MV,,,76.8,85.0
982091062767895,MV,,,48.5,79.0
982091062767898,MV,,,70.4,83.0
982091062767900,MV,,,35.9,71.0
982091062767909,MV,,,67.7,84.0
982091062767910,MV,,,36.0,67.0
982091062767920,MV,,,70.2,81.0
982091062767927,MV,,,38.8,72.0
982091062767932,MV,,,38.3,72.0
982091062767936,MV,,,34.5,69.0
982091062767937,MV,,,62.3,84.0
982091062767940,MV,,,60.9,76.0
982091062767941,MV,,,41.4,71.0
982091062767945,MV,,,37.5,68.0
982091062767952,MV,,,33.3,68.5
982091062767958,MV,,,35.2,68.0
982091062767965,MV,,,49.7,77.0
982091062767977,MV,,,32.8,67.0
982091062767989,MV,,,36.8,69.0
982091062768049,MV,,,52.2,65.0
982091062768059,MV,,,37.1,67.0
982091062768067,MS,,,40.8,64.0
982091062768119,MS,,,30.2,58.0
982091062768153,MV,,,26.1,60.0
982091062768156,MS,,,38.6,62.0
985120024371950,MV,,,64.7,84.5
985120024375888,MV,,,72.2,85.5
985120024390145,MV,,,40.0,75.0
985120024391473,MV,,,25.7,61.0
985120024392108,MV,,,71.5,81.0
985120024400201,MV,,,43.8,63.0
985120024402463,MV,,,43.3,71.0
985120024403513,MV,,,38.7,76.0
985121017905198,MV,,,67.0,82.0
985121017913605,MV,,,64.8,84.0
985121018016728,MV,,,60.5,82.8
985121018020425,MV,,,37.4,68.0
985121021160597,MS,,,49.9,78.5
985153000044573,MV,,,69.2,76.0
985153000287397,MV,,,61.7,81.0
985153000287692,MV,,,56.8,77.0
985153000288758,MV,,,66.6,84.0
985153000292372,MV,,,44.7,74.0
985153000292464,MV,,,36.2,74.5
985153000292496,MV,,,44.0,72.0
985153000292541,MS,3,2009,39.8,70.0
985153000292592,MS,,,50.1,79.0
985153000292607,MS,,,53.4,79.0
985153000292614,MV,,,70.0,85.0
985153000292670,MS,,,51.0,79.0
985153000292680,MV,,,55.5,81.0
985153000292696,MV,,,39.3,71.0
985153000292703,MS,,,43.2,79.0
985153000292758,MS,,,38.3,70.0
985153000292859,MV,,,23.3,71.0
985153000292894,MS,,,52.2,76.0
985153000292904,MV,,,35.0,71.0
985153000292912,MV,,,41.6,72.0
985153000293017,MS,,,44.3,76.0
985153000293030,MS,,,58.4,78.0
985153000293110,MV,,,40.8,76.5
985153000293163,MV,,,55.9,70.0
985153000293283,MS,,,39.9,72.5
985153000293393,MS,,,57.6,80.5
985153000293416,MS,7,2005,47.3,77.0
985153000293422,MV,,,37.6,71.0
985153000293446,MS,,,39.0,70.0
985153000293505,MV,,,46.3,72.0
985153000293517,MV,,,33.8,68.3
985153000293551,MV,,,44.3,71.0
985153000293552,MS,,,43.3,76.0
985153000293557,MV,,,59.8,80.0
985153000293582,MS,,,47.8,74.0
985153000293603,MV,,,61.6,78.5
985153000293774,MV,,,34.5,68.5
985153000293821,MS,,,45.2,66.5
985153000293840,MS,,,47.2,68.0
985153000293939,MV,,,59.5,80.0
985153000293984,MS,,,42.6,66.0
985153000293987,MS,,,57.6,80.0
985153000294031,MV,,,32.9,69.0
985153000294048,MV,,,33.4,72.0
985153000294100,MV,,,59.5,83.0
985153000294142,MV,,,53.9,79.5
985153000294345,MV,,,48.0,75.0
985153000294362,MV,,,70.7,88.0
985153000294486,MS,,,48.3,75.0
985153000294501,MS,,,45.2,72.0
985153000294509,MS,,,42.7,70.0
985153000294610,MV,,,33.0,66.0
985153000294628,MS,,,53.9,78.5
985153000294653,MS,,,55.2,77.0
985153000294708,MS,3,2009,56.1,73.0
985153000294731,MS,,,45.2,78.0
985153000294744,MV,,,39.7,69.5
985153000294757,MS,,,42.5,71.5
985153000294784,MV,,,33.5,69.0
985153000294791,MV,,,68.2,80.0
985153000294889,MS,4,2008,42.0,71.7
985153000294920,MV,,,38.2,68.0
985153000294932,MV,,,40.8,68.5
985153000295170,MV,,,77.1,80.0
985153000298146,MV,,,35.5,76.0
985153000298214,MV,,,54.6,82.0
985153000298244,MV,,,73.0,87.0
985153000298535,MV,,,66.3,78.0
985153000298542,MV,,,43.1,75.0
985153000298879,MV,,,76.1,82.0
985153000298946,MV,,,51.5,72.0
985153000299153,MV,,,42.0,69.0
985153000299782,MV,,,65.4,61.5
985153000300386,MV,,,49.3,77.0
985153000300727,MV,,,33.0,66.0
985153000334988,MV,,,74.5,83.0
985153000334994,MS,,,35.8,69.3
985153000335081,MS,,,53.5,82.0
985153000335838,MS,,,58.4,81.0
985153000336004,MS,,,25.3,70.0
985153000336049,MS,,,43.4,69.0
985153000336078,MS,,,43.2,74.0
985153000336172,MV,,,33.6,65.0
985153000336304,MS,,,56.7,81.3
985153000336701,MS,,,49.1,72.0
985153000337114,MS,,,41.0,75.0
985153000337165,MV,,,32.3,70.0
985153000337286,MV,,,39.1,71.5
985153000337804,MS,,,33.9,68.0
985153000340312,MS,,,29.8,75.0
985153000343859,MV,,,54.8,70.0
985153000344165,MV,,,45.4,77.0
985153000344169,MS,,,43.9,82.0
985153000344422,MS,,,51.3,78.0
985153000344561,MV,,,75.8,86.0
985153000344573,MV,,,69.1,83.5
985153000344650,MS,,,17.4,58.0
985153000344681,MS,,,43.7,75.0
985153000344883,MV,,,57.9,78.0
985153000344910,MS,,,37.5,70.0
985153000345048,MS,,,38.1,80.0
985153000345156,MS,,,51.2,78.7
985153000345260,MS,,,43.1,84.5
985153000345443,MV,,,59.9,73.0
985153000345492,MS,,,42.8,70.5
985153000345716,MS,,,48.4,72.0
985153000345873,MS,,,54.0,81.0
985153000346307,MS,,,30.3,64.0
985153000346309,MS,,,56.8,83.7
985153000348140,MS,,,36.0,57.0
985153000349192,MS,,,33.1,71.3
985153000349199,MV,,,31.1,62.0
985153000349449,MS,,,37.6,70.0
NULL,CH,,,55.4,80.0
NULL,MS,,,54.0,68.0
NULL,MS,,,58.0,70.0
NULL,CH,,,55.6,73.0
NULL,CH,,,34.7,63.0
NULL,CH,,,33.9,62.0