frog,mass,SUL1,SUL2,SUL3,SVL1,SVL2,SVL3
1,58.2,65.59,67.79,63.24,77.8,81.16,75.85
2,72,71.44,72.47,70.54,82.76,80.52,76.9
3,78,73.29,71.52,72.76,76.89,82.01,75.98
4,90.7,73.78,73.24,72.97,83.11,78.16,81.03
5,72.5,69.87,70.42,69.53,65.75,69.32,68.38
6,64.75,72.18,69.67,68.42,68.87,65.55,65.16
7,86.11,72.37,73.23,75.41,66.6,72.27,72.73
8,76.4,78.88,75.79,72.05,82.54,82.1,85.01
9,54.6,72.82,75.03,73.27,73.39,72.21,73.21
10,105.23,82.54,80.54,77.29,90.27,90.34,87.74
11,80.46,70.99,72.4,71.76,72.48,71.6,69.98
12,83.73,73.4,75.38,72.34,78.79,82.84,79.67
13,75.03,73.22,75.76,74.6,79.2,81.26,80.46
14,65.32,71.8,73.28,72.81,72.81,75.21,72.69
15,57.34,69.45,70.56,71.21,70.04,71.67,72.23
16,57.36,71.83,72.21,71.98,72.43,73.19,72.67
17,56.89,65.87,66.9,64.7,68.78,69.45,70.12
18,54.71,68.14,67.87,68.34,70.21,70.56,71.13
19,82.56,71.32,72.43,73.22,77.42,76.89,77.61
20,52.33,65.32,63.4,66.29,66.45,67.3,67.68
21,49.8,65.57,66.32,65.46,65.72,66.3,66.67
22,78.34,76.29,76.57,75.89,76.11,77.12,76.45
23,32.87,57.59,58.21,56.87,56.45,57.6,56.56
24,52.14,71.25,70.56,71.38,76.37,78.43,77.54